Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7 uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,294.0225,-125.81,0.0,top
C10,4.7 uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,319.51,-125.76,0.0,top
C11,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,292.91,-119.0975,90.0,top
C12,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,294.42,-119.11,90.0,top
C13,100 nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,357.11,-137.51,180.0,top
C14,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,353.61,-109.1475,90.0,top
C15,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,328.11,-109.2475,90.0,top
C16,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,302.46,-108.8725,90.0,top
C17,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,291.46,-149.7475,-90.0,top
C18,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,288.96,-149.7475,-90.0,top
C19,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,286.31,-149.7975,-90.0,top
C2,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,368.735,-119.6975,90.0,top
C20,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,284.56,-156.5975,90.0,top
C21,100 nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,352.21,-143.16,180.0,top
C3,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,370.31,-119.71,90.0,top
C4,4.7 uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,344.7225,-125.66,0.0,top
C5,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,343.91,-120.0975,90.0,top
C6,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,345.445,-120.0975,90.0,top
C7,4.7 uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,370.31,-125.61,0.0,top
C8,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,320.01,-119.9725,90.0,top
C9,100 NF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,318.475,-119.9725,90.0,top
DC1,DC-005-5A-2.0-SMT,DC-IN-TH_DC-005-5A-2.0-SMT,367.96,-165.81,180.0,top
J1,motor.1,CONN-SMD_PH2.0-1X2PW,365.76,-115.085,0.0,top
J2,motor.2,CONN-SMD_PH2.0-1X2PW,340.61,-115.375,0.0,top
J3,motor.3,CONN-SMD_PH2.0-1X2PW,315.21,-115.375,0.0,top
J4,motor.4,CONN-SMD_PH2.0-1X2PW,289.7,-115.375,0.0,top
LED10,GREEN,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,374.61,-137.085,-90.0,top
LED11,YELLO,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,374.56,-174.485,90.0,top
LED9,RED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,374.56,-157.985,-90.0,top
R1,680R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,359.3475,-157.81,180.0,top
R10,680R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,367.66,-138.3225,90.0,top
R2,680R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,374.66,-133.16,90.0,top
R3,680R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,374.684343,-178.154243,-90.0,top
RJ1,J1B1211CCD,RJ45-TH_J1B1211CCD,362.99,-147.645,90.0,top
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,340.86,-167.06,0.0,top
SW2,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,340.76,-173.81,0.0,top
U5,TC118S,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,364.425,-122.41,0.0,top
U6,TC118S,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,338.655,-122.93,0.0,top
U7,TC118S,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,313.605,-122.71,0.0,top
U8,TC118S,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,287.755,-122.81,0.0,top
